iter	RMSE
532	16829.24044
533	16818.78863
534	16804.37038
535	16794.27268
536	16783.69455
537	16759.28368
538	16750.69192
539	16733.26747
540	16720.08904
541	16707.18133
542	16696.6655
543	16686.10203
544	16664.62334
545	16654.60304
546	16639.70811
547	16623.36022
548	16606.8561
549	16596.05328
550	16584.31657
551	16573.57225
552	16557.35083
553	16546.05493
554	16536.39554
555	16523.83559
556	16507.54351
557	16494.28717
558	16479.92752
559	16465.92319
560	16454.86866
561	16438.37344
562	16426.94504
563	16408.05711
564	16389.90686
565	16379.52533
566	16365.97582
567	16352.5539
568	16338.39744
569	16329.31696
570	16312.69007
571	16300.99071
572	16288.87739
573	16275.47808
574	16260.79459
575	16239.22078
576	16224.35213
577	16210.79857
578	16199.27028
579	16190.17658
580	16178.18615
581	16164.96794
582	16154.27821
583	16144.09581
584	16133.32128
585	16124.47674
586	16112.77272
587	16101.83528
588	16090.55513
589	16073.625
590	16054.17173
591	16041.72541
592	16031.53803
593	16017.23499
594	16003.23305
595	15990.80176
596	15977.15508
597	15967.29589
598	15953.8997
599	15945.67309
600	15935.94617
601	15926.50376
602	15920.10375
603	15908.34365
604	15897.87655
605	15890.00074
606	15879.2254
607	15862.14484
608	15850.66159
609	15840.55974
610	15826.70347
611	15818.54913
612	15809.95258
613	15799.34663
614	15790.0062
615	15779.31166
616	15766.76905
617	15758.89869
618	15750.33997
619	15739.03645
620	15719.39016
621	15708.61761
622	15694.98773
623	15687.26897
624	15676.40407
625	15667.25169
626	15660.40859
627	15655.05839
628	15641.5246
629	15630.21568
630	15615.63454
631	15605.86195
632	15596.1546
633	15586.43493
634	15579.00981
635	15571.08401
636	15560.72082
637	15550.69814
638	15544.76989
639	15535.12896
640	15524.86302
641	15510.03389
642	15499.71273
643	15485.65918
644	15472.97343
645	15460.94069
646	15450.60142
647	15436.80872
648	15423.06004
649	15409.13402
650	15396.55781
651	15382.8772
652	15362.81401
653	15354.03478
654	15344.69527
655	15335.28936
656	15321.93426
657	15313.78855
658	15305.86471
659	15290.4672
660	15276.83709
661	15266.32681
662	15255.18885
663	15248.14588
664	15236.38298
665	15226.46001
666	15213.64535
667	15205.24119
668	15188.98361
669	15178.18053
670	15167.43416
671	15154.38093
672	15139.25235
673	15125.25973
674	15109.33853
675	15095.33606
676	15075.21425
677	15057.9665
678	15045.50723
679	15035.22358
680	15027.08394
681	15016.42142
682	15006.41785
683	14994.02853
684	14979.49862
685	14963.19948
686	14953.04139
687	14940.3938
688	14928.74073
689	14921.06554
690	14910.91323
691	14900.41218
692	14886.83125
693	14877.27019
694	14863.74158
695	14853.92448
696	14841.65432
697	14832.14042
698	14824.47423
699	14818.00486
700	14803.28196
701	14789.42597
702	14775.35963
703	14760.57312
704	14749.10463
705	14742.94641
706	14734.21646
707	14725.15141
708	14716.64361
709	14707.40121
710	14694.55975
711	14683.89793
712	14674.63536
713	14666.55532
714	14656.19494
715	14648.71664
716	14643.82394
717	14633.67508
718	14624.57658
719	14614.80383
720	14601.57806
721	14593.37318
722	14585.4259
723	14577.10856
724	14566.72445
725	14553.64818
726	14548.6876
727	14535.8823
728	14527.0785
729	14518.1379
730	14508.22029
731	14498.15817
732	14485.89154
733	14475.82924
734	14469.03182
735	14461.37209
736	14450.74883
737	14443.90791
738	14432.81906
739	14421.0261
740	14408.47535
741	14398.51127
742	14386.60555
743	14374.45034
744	14368.20923
745	14358.46419
746	14347.37474
747	14339.55261
748	14332.31526
749	14322.22907
750	14312.03789
751	14298.99649
752	14288.81015
753	14278.39722
754	14273.42174
755	14264.93493
756	14256.81489
757	14247.65779
758	14236.87019
759	14225.18547
760	14213.30118
761	14204.28494
762	14189.17928
763	14177.56151
764	14167.60919
765	14157.9904
766	14142.52065
767	14129.67599
768	14119.19123
769	14113.02228
770	14098.21889
771	14089.90633
772	14076.02467
773	14067.4028
774	14060.16967
775	14049.91361
776	14038.16142
777	14031.54911
778	14023.1608
779	14012.92099
780	14002.64062
781	13990.16131
782	13983.09188
783	13975.111
784	13968.65154
785	13964.12642
786	13951.91019
787	13944.18126
788	13938.85036
789	13932.64519
790	13923.67287
791	13915.45184
792	13906.06236
793	13894.60551
794	13881.46471
795	13872.19913
796	13868.09836
797	13859.21625
798	13843.21537
799	13835.96332
800	13827.05221
801	13817.49923
802	13808.06861
803	13794.32677
804	13781.77276
805	13770.38495
806	13764.00287
807	13756.12421
808	13750.15208
809	13744.40873
810	13736.07462
811	13727.54577
812	13719.48441
813	13712.56758
814	13705.28724
815	13695.93042
816	13680.70983
817	13674.55195
818	13669.11892
819	13659.55992
820	13652.18478
821	13645.32488
822	13637.28676
823	13629.40953
824	13623.00564
825	13615.84191
826	13605.807
827	13597.73489
828	13586.92527
829	13577.79131
830	13566.95412
831	13554.30741
832	13545.65033
833	13538.49544
834	13531.9644
835	13523.88488
836	13515.17983
837	13506.88429
838	13492.46939
839	13484.03879
840	13476.90276
841	13466.07622
842	13458.92446
843	13449.59986
844	13438.39837
845	13425.36554
846	13415.77934
847	13410.22199
848	13405.1001
849	13395.08273
850	13387.21783
851	13375.34172
852	13369.66257
853	13364.76086
854	13356.8703
855	13348.52729
856	13336.67213
857	13324.25444
858	13316.01017
859	13305.74747
860	13293.4595
861	13286.73147
862	13277.55187
863	13264.35139
864	13258.41966
865	13251.11832
866	13241.48396
867	13233.75091
868	13227.70607
869	13213.21307
870	13206.45864
871	13196.19171
872	13185.69662
873	13178.89751
874	13173.97656
875	13166.01198
876	13155.98237
877	13149.27509
878	13142.32325
879	13129.28288
880	13123.67366
881	13116.89926
882	13104.85076
883	13099.78242
884	13094.16623
885	13080.4606
886	13075.3285
887	13068.31767
888	13057.67764
889	13047.58132
890	13033.86602
891	13023.81308
892	13016.04778
893	13009.43569
894	13004.27522
895	12995.01071
896	12986.92153
897	12977.854
898	12971.84906
899	12966.6387
900	12955.76729
901	12944.76148
902	12935.68884
903	12926.3886
904	12921.5327
905	12912.24521
906	12902.26798
907	12888.96915
908	12882.36514
909	12875.19321
910	12866.42381
911	12855.39862
912	12849.33602
913	12839.11997
914	12831.98737
915	12822.98654
916	12816.15466
917	12811.82116
918	12801.99623
919	12791.30698
920	12786.22341
921	12777.59556
922	12771.16562
923	12761.80656
924	12755.14371
925	12747.18897
926	12734.59436
927	12726.59662
928	12717.25836
929	12709.03999
930	12698.69503
931	12689.3567
932	12680.35509
933	12673.44177
934	12663.02157
935	12651.40396
936	12647.05021
937	12638.77389
938	12629.73805
939	12623.94521
940	12620.69289
941	12618.24152
942	12608.81507
943	12604.19148
944	12598.12003
945	12588.82279
946	12581.08102
947	12572.62993
948	12565.02146
949	12555.55991
950	12549.46566
951	12538.43133
952	12531.35962
953	12523.84963
954	12520.52621
955	12514.17885
956	12508.01549
957	12500.97067
958	12496.33058
959	12489.4826
960	12479.76941
961	12469.13877
962	12463.41435
963	12450.92339
964	12442.75876
965	12432.98274
966	12423.21045
967	12417.38308
968	12407.48614
969	12400.74007
970	12393.51166
971	12385.55899
972	12377.61121
973	12368.73158
974	12362.80304
975	12354.66242
976	12344.88533
977	12337.25552
978	12329.024
979	12322.12479
980	12315.0493
981	12308.83386
982	12301.15991
983	12295.36796
984	12287.58967
985	12282.21065
986	12273.88196
987	12267.20628
988	12260.09147
989	12251.48254
990	12244.6993
991	12235.46371
992	12230.69814
993	12224.01094
994	12215.78693
995	12207.31551
996	12198.69626
997	12191.71998
998	12183.78485
999	12175.64169
